#,minute_id,reference_text,reference_number,reasoning,zoekterm,zoekterm_google
1,h-tk-20182019-64-32,"de initiatiefnota van de leden Ploumen, Van Gerven en Ellemeet: ""Big Farma: niet gezond!""",34834,"This reference is to a specific initiative note authored by members Ploumen, Van Gerven, and Ellemeet, titled ""Big Farma: niet gezond!"". The dossier number  is provided, linking it to parliamentary documents.","""initiatiefnota Ploumen AND Van Gerven AND Ellemeet AND Big Farma""","""initiatiefnota Ploumen"" ""Van Gerven"" Ellemeet ""Big Farma"""
2,h-tk-20182019-64-32,de motie-Van den Berg over onderzoek naar biomarkers .,"34834, nr. 9","This reference is to a specific motion by Van den Berg concerning research into biomarkers. The dossier number  and motion number  are provided, indicating its parliamentary context.","""motie AND Van den Berg AND biomarkers""","motie ""Van den Berg"" biomarkers"
3,h-tk-20182019-64-32,de gewijzigde motie-Van den Berg .,"34834, nr. 17","This reference is to the amended motion by Van den Berg. It provides both the current motion number  and the previous number , along with the dossier number , indicating its parliamentary context.","""gewijzigde motie-Van den Berg AND dossiernummer""","""gewijzigde motie-Van den Berg"" dossiernummer"
4,h-tk-20072008-2932-2933,"wetsvoorstel Enige wijzigingen in de Pensioenwet, de Wet verplichte beroepspensioenregeling en enige andere wetten",31226,"This is a reference to a specific legislative proposal identified by its dossier number , which involves amendments to the Pension Act and other related laws.","""wetsvoorstel NEAR wijzigingen Pensioenwet AND Wet verplichte beroepspensioenregeling""","wetsvoorstel ""wijzigingen Pensioenwet"" ""Wet verplichte beroepspensioenregeling"""
5,h-tk-20072008-2932-2933,de motie-Luijben over voorstellen om dreigende armoede na het afschaffen van de partnertoeslag te voorkomen,"31226, nr. 27","This is a reference to a specific motion submitted by MP Luijben, identified by its number  under dossier , concerning proposals to prevent poverty after the abolition of the partner allowance.","""motie Luijben AND dreigende armoede AND afschaffen partnertoeslag""","""motie Luijben"" ""dreigende armoede"" ""afschaffen partnertoeslag"""
6,h-tk-20072008-2932-2933,de motie-Luijben over het instellen van een nationaal pensioenfonds,"31226, nr. 28","This is a reference to a specific motion submitted by MP Luijben, identified by its number  under dossier , concerning the establishment of a national pension fund.","""motie Luijben nationaal pensioenfonds""","""motie Luijben nationaal pensioenfonds"""
7,h-tk-20072008-2932-2933,de motie-Omtzigt/Hamer over het juridische eigendom van pensioenvermogens bij pensioenfondsen en verzekeraars,"31226, nr. 29","This is a reference to a specific motion submitted by MPs Omtzigt and Hamer, identified by its number  under dossier , concerning the legal ownership of pension assets at pension funds and insurers.","""motie Omtzigt Hamer juridische eigendom pensioenvermogens""","""motie Omtzigt Hamer juridische eigendom pensioenvermogens"""
8,h-tk-20072008-2932-2933,de motie-Omtzigt over oplossing van de problematiek van waardeoverdracht van pensioenrechten,"31226, nr. 30","This is a reference to a specific motion submitted by MP Omtzigt, identified by its number  under dossier , concerning the resolution of issues related to the transfer of pension rights.","""motie Omtzigt waardeoverdracht pensioenrechten""","""motie Omtzigt waardeoverdracht pensioenrechten"""
9,h-tk-20072008-2932-2933,het amendement-Blok,"stuk nr. 12, I","This is a reference to a specific amendment proposed by MP Blok, identified by its document number , part I.","""amendement Blok AND documentnummer""","""amendement Blok"" documentnummer"
10,h-tk-20072008-2932-2933,het nader gewijzigde amendement-Hamer/Omtzigt,"stuk nr. 33, I","This is a reference to a specific further amended amendment proposed by MPs Hamer and Omtzigt, identified by its document number , part I.","""nader gewijzigd amendement Hamer Omtzigt"" AND ""amendement""","""nader gewijzigd amendement Hamer Omtzigt"" amendement"
